PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
Census Regions,New England,2017,40,0.714489,0.659029,78,38,X,153,19,14,302,131,45825
Census Regions,Mid-Atlantic,2017,40,1.31862,1.19062,872,523,X,827,214,192,2628,324,220725
Census Regions,East North Central,2017,40,1.10487,1.08702,325,208,X,448,101,70,1152,265,105978
Census Regions,West North Central,2017,40,0.843199,1.03471,138,58,X,196,26,14,432,170,41751
Census Regions,South Atlantic,2017,40,1.11495,1.34164,880,562,X,991,220,172,2825,384,210563
Census Regions,East South Central,2017,40,1.17536,1.64561,405,258,X,449,87,58,1257,205,76385
Census Regions,West South Central,2017,40,1.97674,2.12588,669,389,X,680,171,125,2034,244,95678
Census Regions,Mountain,2017,40,1.03307,0.807908,223,153,X,329,83,107,895,240,110780
Census Regions,Pacific,2017,40,1.47622,1.38015,259,299,X,483,150,123,1314,257,95207
Census Regions,New England,2017,41,0.797907,0.77879,114,72,X,172,29,26,413,137,53031
Census Regions,Mid-Atlantic,2017,41,1.41399,1.30438,932,530,X,792,213,201,2668,320,204541
Census Regions,East North Central,2017,41,1.1354,1.14182,385,230,X,393,104,75,1187,272,103957
Census Regions,West North Central,2017,41,0.910814,1.12107,163,56,X,206,29,29,483,175,43084
Census Regions,South Atlantic,2017,41,1.21477,1.41043,911,633,X,1063,249,188,3044,381,215820
Census Regions,East South Central,2017,41,1.23778,1.6275,405,256,X,394,90,62,1207,212,74163
Census Regions,West South Central,2017,41,2.11723,2.20808,746,457,X,660,152,139,2154,248,97551
Census Regions,Mountain,2017,41,1.00614,0.824081,199,155,X,330,87,113,884,232,107271
Census Regions,Pacific,2017,41,1.32211,1.26264,263,287,X,443,120,114,1227,268,97177
Census Regions,New England,2017,42,0.796885,0.750669,106,69,X,186,25,29,415,137,55284
Census Regions,Mid-Atlantic,2017,42,1.59989,1.47513,1067,561,X,1053,213,207,3101,325,210219
Census Regions,East North Central,2017,42,1.10692,1.08061,397,234,X,368,99,75,1173,279,108550
Census Regions,West North Central,2017,42,1.00219,1.30565,198,82,X,244,30,32,586,173,44882
